



"Name","Beitrags-ID","Themenschwerpunkte","Ort","Textkörper","Personenkategorie","Länder & Regionen"
"Multi Watch","8627","Welthandel, Weltwirtschaft, Multis","","","Autor*in",""
"Linda Helfrich","8633","","","","Autor*in","Kolumbien"
"Manuel Sutherland","8635","Wirtschaftspolitik","","","Autor*in","Venezuela"
"Micaela Sofía Cámpora","8758","","","","Autor*in","Uruguay"
"Simona Böckler","8760","","","","Autor*in",""
"Katja Maurer","8787","","","","Autor*in",""
"Sarah Moldenhauer","8791","","","","Autor*in","Chile"
"Michael Mörth","9132","","","","Autor*in",""
"Oleg Zurmühlen","9135","","","","Ständige Mitarbeiter*in",""
"Hinnerk Berlekamp","9137","","","","Autor*in",""
"Inga Triebel","9182","","","","Redaktionsmitglied",""
"Lena Herzog","9183","","","","Autor*in",""
"Jaime Quintanilla","9203","","","","Autor*in","El Salvador"
"Santiago Penedo","9309","","","","Autor*in",""
"Konrad Egenolf","9311","Agrarpolitik","","","Ständige Mitarbeiter*in",""
"Emiliano Teran Mantovani","9318","","","","Autor*in",""
"Joaquín Molina","9422","","","","Autor*in","Chile"
"Ute Löhning","9432","","","","Autor*in",""
"Adam Isacson","9523","","","","Autor*in",""
"Simon Ernst","9529","","","","Autor*in",""
"Lisa Pausch","9533","","","","Autor*in",""
"John Lindsay Poland","9551","","","","Autor*in","USA, Mexiko"
"Svenja Osmers","9632","","","","Autor*in",""
"Liz Zhingri","9636","","","","Autor*in","Ecuador"
"Natascha Ueckmann","9641","","","","Autor*in",""
"Christoph Joppich","9645","","","","Autor*in",""
"Viola Mautsch","9800","","","","Autor*in",""
"Juan Carlos La Serna","9850","","","","Autor*in",""
"Lutz Taufer","9920","","","","Autor*in","Brasilien"
"Anselm Weidner","9921","","","","Autor*in",""
"Bert Hoffmann","9980","","","","Autor*in",""
"Vera Lucía Wurst Giusti","9994","","","","Autor*in",""
"Mario Hernández","10084","","","","Autor*in",""
